seed,leak_type,detected,contained,purged,rollback_success,closure_verified,invalid_state_released,detection_ms,containment_ms,purge_ms,rollback_ms,total_closure_ms,rss_before_bytes,rss_after_bytes,rss_residual_bytes,threads_before,threads_after,worker_thread_leak,baseline_accuracy,post_closure_accuracy,accuracy_delta_after_closure,protected_mode_entered,homeostasis_restored,electrical_energy_measured,direct_cost_measured,A_DMIC_milieu_interior_preserved
1901,unauthorised_memory_write,True,True,True,True,True,False,0.0049689997467794456,0.0025889994503813796,199.85773300049914,0.009656000656832475,199.87494700035313,295890944,295890944,0,30,30,False,0.6671160791464116,0.6658459146959477,-0.0012701644504639065,True,True,False,False,True
1901,stale_cache_persistence,True,True,True,True,True,False,0.005398999746830668,0.0030440005502896383,201.14755800022976,0.017077999473258387,201.17307900000014,295890944,295890944,0,30,30,False,0.6671160791464116,0.6622289445180569,-0.004887134628354661,True,True,False,False,True
1901,orphan_worker,True,True,True,True,True,False,0.004280000212020241,0.002668999513844028,198.32591199974559,0.00979999913397478,198.34266099860542,295890944,295890944,0,30,30,False,0.6671160791464116,0.6591001052855426,-0.008015973860868941,True,True,False,False,True
1901,schema_escape,True,True,True,True,True,False,0.003739000021596439,0.002478999704180751,195.7459730001574,0.009471000339544844,195.7616620002227,295890944,295890944,0,30,30,False,0.6671160791464116,0.6591001052855426,-0.008015973860868941,True,True,False,False,True
1901,cross_context_identifier,True,True,True,True,True,False,0.003885999831254594,0.0018660002751857974,193.0182899995998,0.011758000255213119,193.03579999996145,295890944,295890944,0,30,30,False,0.6671160791464116,0.6634946673799921,-0.0036214117664195022,True,True,False,False,True
1901,recursive_correction_loop,True,True,True,True,True,False,0.003992999154434074,0.0022180001906235702,175.85753300045326,0.010948000635835342,175.87469200043415,295890944,295890944,0,30,30,False,0.6671160791464116,0.6658459146959477,-0.0012701644504639065,True,True,False,False,True
1901,protected_test_access_attempt,True,True,True,True,True,False,0.0036399997043190524,0.002444000529067125,178.39745299988863,0.010065000424219761,178.41360200054623,295890944,295890944,0,30,30,False,0.6671160791464116,0.6583523617002002,-0.008763717446211405,True,True,False,False,True
1913,unauthorised_memory_write,True,True,True,True,True,False,0.003632999323599506,0.0033340002119075507,181.8543919998774,0.010015000043495093,181.8713739994564,295890944,295890944,0,30,30,False,0.6157095033778085,0.6076578864165476,-0.008051616961260888,True,True,False,False,True
1913,stale_cache_persistence,True,True,True,True,True,False,0.0040289996832143515,0.002004000634769909,190.89483300012944,0.010105000001203734,190.91097100044863,295890944,295890944,0,30,30,False,0.6157095033778085,0.6123623533435739,-0.0033471500342345806,True,True,False,False,True
1913,orphan_worker,True,True,True,True,True,False,0.003788999492826406,0.0022399999579647556,183.86082599954534,0.01138300012826221,183.8782379991244,295890944,295890944,0,30,30,False,0.6157095033778085,0.6144393389273446,-0.0012701644504639065,True,True,False,False,True
1913,schema_escape,True,True,True,True,True,False,0.003630000719567761,0.0019750004867091775,191.3875009995536,0.010588999430183321,191.40369500019005,295890944,295890944,0,30,30,False,0.6157095033778085,0.6144393389273446,-0.0012701644504639065,True,True,False,False,True
1913,cross_context_identifier,True,True,True,True,True,False,0.004096999873581808,0.00194000040210085,182.0206190004683,0.010225000551145058,182.03688100129511,295890944,295890944,0,30,30,False,0.6157095033778085,0.6131121388221199,-0.002597364555688597,True,True,False,False,True
1913,recursive_correction_loop,True,True,True,True,True,False,0.0037440004234667867,0.0019569997675716877,179.1393559997232,0.010360000487708021,179.15541700040194,295890944,295890944,0,30,30,False,0.6157095033778085,0.6076578864165476,-0.008051616961260888,True,True,False,False,True
1913,protected_test_access_attempt,True,True,True,True,True,False,0.0035270004445919767,0.0024020000637392513,181.49041200013016,0.009311999747296795,181.5056530003858,295890944,295890944,0,30,30,False,0.6157095033778085,0.6128751850662206,-0.002834318311587869,True,True,False,False,True
1931,unauthorised_memory_write,True,True,True,True,True,False,0.005175000296731014,0.0025770004867808893,206.75956500053871,0.0075360003393143415,206.77485300166154,295890944,295890944,0,30,30,False,0.6677552995271634,0.6667426902311875,-0.001012609295975908,True,True,False,False,True
1931,stale_cache_persistence,True,True,True,True,True,False,0.003961999937018845,0.002338000740564894,187.32592000014847,0.008168999556801282,187.34038900038286,295890944,295890944,0,30,30,False,0.6677552995271634,0.65891839880983,-0.00883690071733334,True,True,False,False,True
1931,orphan_worker,True,True,True,True,True,False,0.0036830006138188764,0.0020530005713226274,185.7682730005763,0.010026999916590285,185.78403600167803,295890944,295890944,0,30,30,False,0.6677552995271634,0.6645913641860766,-0.003163935341086832,True,True,False,False,True
1931,schema_escape,True,True,True,True,True,False,0.003859000571537763,0.0021819996618432924,178.43002700010402,0.010619000022416003,178.44668700035982,295890944,295890944,0,30,30,False,0.6677552995271634,0.6645913641860766,-0.003163935341086832,True,True,False,False,True
1931,cross_context_identifier,True,True,True,True,True,False,0.003477000063867308,0.0020969991965102963,176.86744700040435,0.010652000128175132,176.8836729997929,295890944,295890944,0,30,30,False,0.6677552995271634,0.6660312712365153,-0.0017240282906481053,True,True,False,False,True
1931,recursive_correction_loop,True,True,True,True,True,False,0.0032759999157860875,0.0019949993657064624,188.47580199962977,0.009746999239723664,188.49081999815098,295890944,295890944,0,30,30,False,0.6677552995271634,0.6667426902311875,-0.001012609295975908,True,True,False,False,True
1931,protected_test_access_attempt,True,True,True,True,True,False,0.003338000169605948,0.001997000254050363,193.77728500057856,0.01065600008587353,193.7932760010881,295890944,295890944,0,30,30,False,0.6677552995271634,0.6587494279110677,-0.009005871616095673,True,True,False,False,True
1949,unauthorised_memory_write,True,True,True,True,True,False,0.004651000381272752,0.0024289993234560825,178.2700779995139,0.010323000424250495,178.28748099964287,295890944,295890944,0,30,30,False,0.6696572846356307,0.6625067038946585,-0.00715058074097219,True,True,False,False,True
1949,stale_cache_persistence,True,True,True,True,True,False,0.003514999662002083,0.0020259994926163927,190.76040900017688,0.006817000212322455,190.77276699954382,295890944,295890944,0,30,30,False,0.6696572846356307,0.6620692400515152,-0.007588044584115439,True,True,False,False,True
1949,orphan_worker,True,True,True,True,True,False,0.0054120000640978105,0.003041999661945738,150.89798200006044,0.0075379994086688384,150.91397399919515,295890944,295890944,0,30,30,False,0.6696572846356307,0.6681998798419223,-0.0014574047937083723,True,True,False,False,True
1949,schema_escape,True,True,True,True,True,False,0.0042040001062559895,0.0020709994714707136,148.54761700007657,0.007111000741133466,148.56100300039543,295890944,295890944,0,30,30,False,0.6696572846356307,0.6681998798419223,-0.0014574047937083723,True,True,False,False,True
1949,cross_context_identifier,True,True,True,True,True,False,0.0033000005714711733,0.0020450006559258327,155.46546400037187,0.007501999789383262,155.47831100138865,295890944,295890944,0,30,30,False,0.6696572846356307,0.665327888868271,-0.0043293957673596895,True,True,False,False,True
1949,recursive_correction_loop,True,True,True,True,True,False,0.0033959995562327094,0.0016569993022130802,141.34682200074167,0.007716999789408874,141.35959199938952,295890944,295890944,0,30,30,False,0.6696572846356307,0.6625067038946585,-0.00715058074097219,True,True,False,False,True
1949,protected_test_access_attempt,True,True,True,True,True,False,0.00308499966195086,0.0020219995349179953,140.97990800019033,0.007485999958589673,140.9925009993458,295890944,295890944,0,30,30,False,0.6696572846356307,0.6603366209660042,-0.009320663669626472,True,True,False,False,True
1973,unauthorised_memory_write,True,True,True,True,True,False,0.004823999915970489,0.0025050003387150355,140.86749899979623,0.0071260001277551055,140.88195400017867,295890944,295890944,0,30,30,False,0.6446351661388777,0.6392038585112014,-0.005431307627676296,True,True,False,False,True
1973,stale_cache_persistence,True,True,True,True,True,False,0.0037130002965568565,0.002019000021391548,142.91148200027237,0.008265000360552222,142.92547900095087,295890944,295890944,0,30,30,False,0.6446351661388777,0.6372963995787905,-0.007338766560087251,True,True,False,False,True
1973,orphan_worker,True,True,True,True,True,False,0.003217000084987376,0.0018949995137518272,141.85331800035783,0.007298000127775595,141.86572800008435,295890944,295890944,0,30,30,False,0.6446351661388777,0.64293237607918,-0.0017027900596977563,True,True,False,False,True
1973,schema_escape,True,True,True,True,True,False,0.0030380006137420423,0.001874000190582592,140.40308400035428,0.0076320002335705794,140.41562800139218,295890944,295890944,0,30,30,False,0.6446351661388777,0.64293237607918,-0.0017027900596977563,True,True,False,False,True
1973,cross_context_identifier,True,True,True,True,True,False,0.0036829997043241747,0.0019139997675665654,139.39035099974717,0.007700000423938036,139.403647999643,295890944,295890944,0,30,30,False,0.6446351661388777,0.6377584305149824,-0.006876735623895347,True,True,False,False,True
1973,recursive_correction_loop,True,True,True,True,True,False,0.0032610005291644484,0.001666000571276527,152.37930700004654,0.008027999683690723,152.39226200083067,295890944,295890944,0,30,30,False,0.6446351661388777,0.6392038585112014,-0.005431307627676296,True,True,False,False,True
