stack_size,mean_difference,wins,ties,losses,wilcoxon_statistic,p_raw,p_holm
5,0.0006174463937621799,51,19,30,1374.0,0.1772831941135531,0.3545663882271062
10,0.0011223196881091336,48,13,39,1675.0,0.31145178924721095,0.3545663882271062
