mode,stack_size,evaluations,mean_accuracy,sd_accuracy,maximum_accuracy,minimum_accuracy,mean_macro_f1,mean_balanced_accuracy,mean_log_loss,mean_worst_dataset_accuracy,mean_active_models,mean_dropout_fraction,mean_milieu_reuse_rate,mean_cache_reuse_rate,mean_avoided_model_fraction,mean_net_regenerative_efficiency
AY_R,5,100,0.9838391812865497,0.008015786362252881,0.9962962962962963,0.9659356725146199,0.9835228618727118,0.9827722615472615,0.09096799990542678,0.9731023391812866,3.76,0.624,0.7687671012694962,0.9956961166315754,0.624,0.7951550814398043
AY_R,10,100,0.98178216374269,0.009262114023005325,0.9944444444444445,0.9603801169590643,0.9814318484194462,0.9804761511511512,0.09900057070764662,0.9702748538011696,6.516666666666667,0.3483333333333334,0.7777890618047947,0.9943223231922808,0.3483333333333334,0.6969326491377221
AY_baseline,5,100,0.9832217348927875,0.008043873119386757,0.9962962962962963,0.9651559454191033,0.9829104618228457,0.9821976154726154,0.09343910390901536,0.9725277777777778,5.0,0.5,0.7503787597689525,0.994879879530292,0.5,0.0
AY_baseline,10,100,0.980659844054581,0.00986426981488546,0.9944444444444445,0.9622319688109161,0.9802901009551406,0.9790801909051909,0.09788406391203885,0.9683684210526315,10.0,0.0,0.7435856387469751,0.9933518775956008,0.0,0.0
