addon,mean_when_present,mean_when_absent,mean_influence_delta,top_10_presence_rate
knn,0.9831811478297213,0.9834400124684874,-0.00025886463876612087,0.5
hist_gradient_boosting,0.9831520470571393,0.9834308916994312,-0.00027884464229188666,0.3
extra_trees,0.9831629382717925,0.9834848277721242,-0.00032188950033174013,0.5
gaussian_nb,0.9827458954355573,0.984022154877861,-0.0012762594423036955,0.0
