order,batch,trial,xgb_config,lgbm_config,ridge_alpha,stack_mode,oof_accuracy_mean,oof_accuracy_sd,oof_accuracy_worst
84,9,4,2,1,0.3,full_heterogeneous,0.9811763251205752,0.007996090850991504,0.9507042253521126
85,9,5,3,2,1.0,full_heterogeneous,0.9817599076248258,0.007364475096810336,0.9577464788732394
86,9,6,1,3,0.1,xgb_lgbm_logistic,0.9766743257037003,0.0069572505097599754,0.9665970772442589
87,9,7,3,3,0.01,xgb_lgbm,0.9600266513521827,0.009996920677419354,0.945054945054945
88,9,8,0,3,0.03,full_heterogeneous,0.9802993271442801,0.007717035133502384,0.9507042253521126
89,9,9,1,2,0.1,xgb_lgbm,0.9623312506769826,0.010381288633102085,0.9428571428571428
90,9,10,0,0,0.1,xgb_lgbm_svc,0.9803609606176574,0.00784126797822321,0.9577464788732394
91,10,1,3,2,0.3,xgb_lgbm_svc,0.9797156879144001,0.008842131463531041,0.9507042253521126
92,10,2,2,1,1.0,xgb_lgbm_svc,0.9813417564430531,0.008430566505099513,0.9507042253521126
93,10,3,0,1,0.01,full_heterogeneous,0.9808152036606269,0.008046782220399114,0.9507042253521126
94,10,4,1,2,0.01,xgb_lgbm_svc,0.9802248377763683,0.008844791047132126,0.9507042253521126
95,10,5,2,2,0.3,full_heterogeneous,0.9814156311636391,0.007951679781175232,0.9507042253521126
96,10,6,1,1,1.0,full_heterogeneous,0.9820670158739495,0.007256329148778554,0.9577464788732394
97,10,7,1,1,0.3,xgb_lgbm,0.9601664448443242,0.008817582754621646,0.945054945054945
98,10,8,1,3,1.0,xgb_lgbm,0.9601841834512598,0.01018995130188584,0.9406593406593406
99,10,9,0,0,1.0,xgb_lgbm,0.9616212884968216,0.010065121592471098,0.945054945054945
100,10,10,3,2,0.3,xgb_lgbm_logistic,0.9778006518492862,0.006787413970844115,0.967032967032967
