batch,step,score,centred_cumulative_position,best_so_far
1,1,0.9806372521300923,0.005238981378591467,0.9806372521300923
1,2,0.9755320481675268,0.005372758794617405,0.9806372521300923
1,3,0.9792507686053511,0.009225256648467628,0.9806372521300923
1,4,0.9769713156084413,0.010798301505408059,0.9806372521300923
1,5,0.9621938590485151,-0.002406110197577749,0.9806372521300923
1,6,0.9816390820342715,0.003834701085192904,0.9816390820342715
1,7,0.9801207609664196,0.008557191300111677,0.9816390820342715
1,8,0.9802993271442801,0.013458247692890946,0.9816390820342715
1,9,0.9758931696274753,0.013953146568865371,0.9816390820342715
1,10,0.9614451241826347,-7.771561172376096e-16,0.9816390820342715
2,1,0.9781263923135193,0.0027995366880366745,0.9781263923135193
2,2,0.982062451614923,0.009535132677477076,0.982062451614923
2,3,0.9802248377763683,0.014433114828362736,0.982062451614923
2,4,0.9798591520573939,0.018965411260274068,0.982062451614923
2,5,0.9765796563726525,0.020218212007444003,0.982062451614923
2,6,0.9601750549332071,0.005066411315168495,0.982062451614923
2,7,0.9761129498472554,0.005852505536941277,0.982062451614923
2,8,0.9797746010707284,0.01030025098218712,0.982062451614923
2,9,0.9805535947516013,0.015526990108305827,0.982062451614923
2,10,0.9597998655171758,-9.992007221626409e-16,0.982062451614923
3,1,0.9766120775829972,-0.002536889340970516,0.9766120775829972
3,2,0.9813969989485296,-0.00028885731640859724,0.9813969989485296
3,3,0.9801680475228651,0.0007302232824888399,0.9813969989485296
3,4,0.9794308825312384,0.001012138889759595,0.9813969989485296
3,5,0.9766706550528481,-0.001466172981359981,0.9813969989485296
3,6,0.9805065871560035,-0.00010855274932419778,0.9813969989485296
3,7,0.9758849347175966,-0.003372584955695257,0.9813969989485296
3,8,0.9799864253414784,-0.002535126538184551,0.9813969989485296
3,9,0.9805297836301394,-0.001154309832012812,0.9813969989485296
3,10,0.9803032767559806,1.1102230246251565e-16,0.9813969989485296
4,1,0.9809379126856853,0.0013752685087918826,0.9809379126856853
4,2,0.9769255373074949,-0.0012618383606066708,0.9809379126856853
4,3,0.9812281759360475,0.00040369339854740005,0.9812281759360475
4,4,0.9815545310476066,0.0023955802692605666,0.9815545310476066
4,5,0.9807929007946651,0.003625836887032219,0.9815545310476066
4,6,0.9805917527899946,0.004654945500133345,0.9815545310476066
4,7,0.9807410499791929,0.005833351302432788,0.9815545310476066
4,8,0.9761019378946988,0.002372645020238151,0.9815545310476066
4,9,0.9798509171475153,0.00266091799085999,0.9815545310476066
4,10,0.9769017261860335,1.1102230246251565e-16,0.9815545310476066
5,1,0.978222569900067,0.004516181578165024,0.978222569900067
5,2,0.9800947874496053,0.010904580705868416,0.9800947874496053
5,3,0.9791775085320911,0.016375700916057556,0.9800947874496053
5,4,0.9613783118029053,0.004047624397060967,0.9800947874496053
5,5,0.9780641441928161,0.008405380267975104,0.9800947874496053
5,6,0.961313565600372,-0.003987442453554868,0.9800947874496053
5,7,0.9798795714888514,0.0021857407133946127,0.9800947874496053
5,8,0.9765739195446039,0.005053271936096615,0.9800947874496053
5,9,0.9801283812289722,0.011475264843166855,0.9801283812289722
5,10,0.9622311234787345,-5.551115123125783e-16,0.9801283812289722
6,1,0.9806418163891185,0.010332711361938696,0.9806418163891185
6,2,0.9603597331181207,0.00038333945287960525,0.9806418163891185
6,3,0.9823368596928538,0.012411094118553567,0.9823368596928538
6,4,0.9795923642420158,0.021694353333389538,0.9823368596928538
6,5,0.9602852042576822,0.011670452563891875,0.9823368596928538
6,6,0.9762112898291558,0.017572637365867894,0.9823368596928538
6,7,0.9600764359904589,0.007339968329146962,0.9823368596928538
6,8,0.9610751531654824,-0.0018939835325504362,0.9823368596928538
6,9,0.9615636046351445,-0.010639483924585802,0.9823368596928538
6,10,0.9809485889517647,-8.881784197001252e-16,0.9823368596928538
7,1,0.9758131828998364,0.005191545324980562,0.9758131828998364
7,2,0.9614021229243671,-0.004027969325508196,0.9758131828998364
7,3,0.980029147638898,0.005379540738533972,0.980029147638898
7,4,0.9821216437320996,0.016879546895777753,0.9821216437320996
7,5,0.9601518584590714,0.006409767779993247,0.9821216437320996
7,6,0.9820520543096922,0.017840184514829605,0.9821216437320996
7,7,0.9613560089369434,0.008574555876917134,0.9821216437320996
7,8,0.9621307173196381,8.363562169932948e-05,0.9821216437320996
7,9,0.9796430424884659,0.009105040535309361,0.9821216437320996
7,10,0.961516597039547,4.440892098500626e-16,0.9821216437320996
8,1,0.9799779114707516,0.0030085680831952732,0.9799779114707516
8,2,0.977320867194136,0.00336009188977493,0.9799779114707516
8,3,0.9806036583507254,0.006994406852943946,0.9806036583507254
8,4,0.9765656846347253,0.006590748100112842,0.9806036583507254
8,5,0.960221447881479,-0.010157147405964517,0.9806036583507254
8,6,0.9812297236840739,-0.0058967671094469765,0.9812297236840739
8,7,0.9764090461438222,-0.006457064353181163,0.9812297236840739
8,8,0.9762911803386385,-0.0071352274020990425,0.9812297236840739
8,9,0.9806949359917693,-0.0034096347978861408,0.9812297236840739
8,10,0.9803789781854413,-1.2212453270876722e-15,0.9812297236840739
9,1,0.9808356230920846,0.00675593026064969,0.9808356230920846
9,2,0.9766352740571329,0.009311511486347679,0.9808356230920846
9,3,0.9606972829249286,-0.00407089842015862,0.9808356230920846
9,4,0.9811763251205752,0.0030257338689816393,0.9811763251205752
9,5,0.9817599076248258,0.01070594866237251,0.9817599076248258
9,6,0.9766743257037003,0.013300581534637868,0.9817599076248258
9,7,0.9600266513521827,-0.0007524599446143698,0.9817599076248258
9,8,0.9802993271442801,0.005467174368230854,0.9817599076248258
9,9,0.9623312506769826,-0.006281267786221512,0.9817599076248258
9,10,0.9803609606176574,9.992007221626409e-16,0.9817599076248258
10,1,0.9797156879144001,0.005180417767027157,0.9797156879144001
10,2,0.9813417564430531,0.011986904062707304,0.9813417564430531
10,3,0.9808152036606269,0.01826683757596126,0.9813417564430531
10,4,0.9802248377763683,0.023956405204956566,0.9813417564430531
10,5,0.9814156311636391,0.030836766221222667,0.9814156311636391
10,6,0.9820670158739495,0.03836851194779922,0.9820670158739495
10,7,0.9601664448443242,0.023999686644750495,0.9820670158739495
10,8,0.9601841834512598,0.009648599948637315,0.9820670158739495
10,9,0.9616212884968216,-0.0032653817019140385,0.9820670158739495
10,10,0.9778006518492862,-7.771561172376096e-16,0.9820670158739495
