condition,arm,runs,median_accuracy,mean_accuracy,minimum_accuracy,maximum_accuracy,sd_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_log_loss,mean_active_models,mean_specialist_activation
high_dimensional_sparse,A_DMIC_gated_specialist,10,0.6152777777777778,0.6108333333333333,0.5722222222222222,0.6444444444444445,0.025406503061326913,0.610784546819275,0.6105313016184598,0.6589147586906382,3.378333333333333,0.3783333333333333
high_dimensional_sparse,reference_core,10,0.6097222222222223,0.6080555555555556,0.5638888888888889,0.6444444444444445,0.028761888458673775,0.608011355945757,0.6076917523165293,0.659134329512346,3.0,0.0
high_dimensional_sparse,specialist_full,10,0.6152777777777778,0.6108333333333333,0.5722222222222222,0.6444444444444445,0.025406503061326913,0.610784546819275,0.6105313016184598,0.6589666998041206,4.0,1.0
temporal_drift_binary,A_DMIC_gated_specialist,10,0.6597222222222222,0.6597222222222222,0.6055555555555555,0.7027777777777777,0.0286064661218063,0.7309024819901776,0.6562075807753825,0.6640954251879438,3.5902777777777777,0.5902777777777778
temporal_drift_binary,reference_core,10,0.575,0.5772222222222222,0.5361111111111111,0.6083333333333333,0.023744178407147525,0.6770429234704063,0.5768897254316055,0.7456569619287375,3.0,0.0
temporal_drift_binary,specialist_full,10,0.6597222222222222,0.6597222222222222,0.6055555555555555,0.7027777777777777,0.0286064661218063,0.7309024819901776,0.6562075807753825,0.7174304591715452,4.0,1.0
