workload,arm,runs,mean_accuracy,minimum_accuracy,mean_log_loss,mean_active_models,mean_specialist_activation,median_latency_ms,mean_cpu_ms,mean_throughput,mean_memory_recovery,mean_recovery_time_ms,worker_thread_leak_rate,mean_cost_index_per_1000
clean,A_DMIC_gated_specialist,5,0.62,0.5666666666666667,0.7943005212801639,3.318333333333334,0.31833333333333336,0.022165447500002402,0.0809572360555535,45794.016459777806,1.0,145.12671539996518,0.0,0.0824748134463926
clean,permanent_specialist,5,0.6508333333333333,0.6,0.7924701881156271,4.0,1.0,0.02115745722221618,0.08601089172222172,42954.3999354278,1.0,145.8889734000877,0.0,0.08771641072037675
clean,reference_core,5,0.575,0.525,0.8384637492819632,3.0,0.0,0.022540035277719046,0.0794829261666684,45574.848507985516,1.0,144.74498580002546,0.0,0.08101900694908037
intensified_temporal_drift,A_DMIC_gated_specialist,5,0.6533333333333333,0.625,0.7256907671212885,3.328333333333333,0.3283333333333333,0.02185103694437708,0.08375954250000303,45110.390641720325,1.0,143.94176400001015,0.0,0.08529994864380691
intensified_temporal_drift,permanent_specialist,5,0.6691666666666667,0.625,0.7297565746535911,4.0,1.0,0.023854179722270094,0.09488821216666565,40301.725186560434,1.0,146.8019378000463,0.0,0.09665501916943178
intensified_temporal_drift,reference_core,5,0.63,0.6083333333333333,0.7569948985277002,3.0,0.0,0.019669772777888284,0.08049954766666348,45496.950101765615,1.0,147.73422179996487,0.0,0.08211158363893126
missingness,A_DMIC_gated_specialist,5,0.6008333333333333,0.5625,0.8232213499422676,3.328333333333333,0.3283333333333333,0.022554039722232726,0.08967506372221755,41920.90139699432,1.0,147.28074459999334,0.0,0.0913549003422909
missingness,permanent_specialist,5,0.6275000000000001,0.5875,0.8239103363948088,4.0,1.0,0.02217910500007747,0.08906798383333125,41292.47973521766,1.0,149.46559740010343,0.0,0.09078562323420405
missingness,reference_core,5,0.5575,0.5041666666666667,0.8703752675311612,3.0,0.0,0.020523128611102948,0.07766426983333,47742.59830505056,1.0,146.9970889999786,0.0,0.07912527256184596
