stack_size,arm,selection_count,protected_accuracy_mean,protected_accuracy_max,runs_at_or_above_0_99,development_accuracy_mean,log_loss_mean,heart_rate_mean,pulse_pressure_mean,viscosity_mean,compressibility_mean,lubrication_mean,recovery_mean,forward_gradient_mean,venous_gradient_mean
5,dynamic_optimised_milieu,1,0.9785575048732943,0.9785575048732943,0,0.9731997179084715,0.8109440708039366,1.908340337983334,0.07917600102673605,0.725934305651839,0.1756359405341261,0.7483192919643852,0.6753868534427699,0.0,0.002904684110179273
5,isolated_stable_interior,94,0.9816981875492513,0.9916666666666667,10,0.9772524883666303,0.8056254258537751,2.6822717675774,0.07547878187042947,0.8835448155267067,0.1651563332741308,0.702220153211013,0.5450105873404217,0.008698532128267189,0.01055023027935158
5,pulsatile_pressure_gradient_micro_tuning,5,0.9796491228070175,0.9856725146198831,0,0.9740306586229724,0.8086549074701319,2.681902926904789,0.07211822181068143,0.9174790548987246,0.17024347924305688,0.7435999962304117,0.5475713782090692,0.01896240228101494,0.00860853467884452
10,dynamic_optimised_milieu,1,0.9953703703703703,0.9953703703703703,1,0.9755499253573294,0.7933385312440248,2.803009739033687,0.08476552007945543,0.6622818118579793,0.24042598544901933,0.5974871780778777,0.47674217138607855,0.05314681547531603,0.009045339646914438
10,isolated_stable_interior,94,0.9840793621168762,0.9953703703703703,15,0.9802175156251017,0.7993350924175469,2.625205797866568,0.07343646143510259,0.8949213144206253,0.16711644549501245,0.6843732057721793,0.5448953836686601,0.008028570127600736,0.011556299720293014
10,pulsatile_pressure_gradient_micro_tuning,5,0.9938011695906432,0.9953703703703703,4,0.9759187238054597,0.7941061640407533,2.6908082491208782,0.07247124213680663,1.0179190870538803,0.16054824417899158,0.6831074632388865,0.5755175947558737,0.010337732312290132,0.013016559812347112
