stack_size,repeat_level_evaluations,protected_accuracy_mean,protected_accuracy_sd,protected_accuracy_ci95_low,protected_accuracy_ci95_high,protected_accuracy_min,protected_accuracy_max,runs_at_or_above_0_99,macro_f1_mean,balanced_accuracy_mean,log_loss_mean,development_accuracy_mean
5,100,0.9815643274853804,0.0064995179612474556,0.9802904219649758,0.9828382330057849,0.969785575048733,0.9916666666666667,10,0.9811139408322572,0.9809143786643785,0.8058300863840945,0.9770508691748659
10,100,0.9846783625730996,0.006569001830969181,0.9833908382142297,0.9859658869319695,0.9753411306042885,0.9953703703703703,20,0.9844022568802724,0.9836669884169882,0.7990136803869722,0.979955900131442
