arm,evaluations,median_accuracy,median_ci95_low,median_ci95_high,modal_band_4dp,modal_frequency,mean_accuracy,mean_ci95_low,mean_ci95_high,sample_sd,minimum_accuracy,maximum_accuracy,near_peak_ge_99,mean_log_loss,mean_active_models,mean_NRE_proxy,mean_latency_ms,full_rescue_rate,certainty_lock_rate,memory_match_rate,target_mean_accuracy_pass,target_minimum_pass,target_active_models_pass,target_full_rescue_pass,target_NRE_pass,accuracy_rank,floor_rank,efficiency_rank,NRE_rank,stability_rank,composite_rank
residual_learner,100,0.9788011695906432,0.9761208576998052,0.9798245614035088,0.9716;0.9790,5,0.9777144249512669,0.975958386590199,0.9794704633123349,0.008850032047473625,0.9582358674463937,0.9942982456140351,0.11,0.08292198565968122,3.0,0.9049999999999998,5.256124989987257,0.0,0.7943245614035085,0.14527192982456139,False,False,True,True,True,2.0,5.0,1.0,1.0,3.0,2.4
residual_error_memory,100,0.9783382066276802,0.9756335282651071,0.9799707602339182,0.9886,5,0.9772772904483429,0.9754564189789375,0.9790981619177482,0.009176776097742324,0.9573099415204679,0.9933723196881091,0.09,0.0846568915334204,3.0,0.9049999999999998,5.03295964332665,0.0,0.7943245614035085,0.14527192982456139,False,False,True,True,True,3.0,6.0,1.0,1.0,4.0,3.0
single_micro_expert,100,0.9788255360623782,0.9762670565302143,0.9801169590643276,0.9642;0.9678;0.9707;0.9795;0.9867;0.9877;0.9934,4,0.9775350877192983,0.9757100693007089,0.9793601061378877,0.009197675773963323,0.9591617933723198,0.9942982456140351,0.1,0.08111395297984281,3.059783138401559,0.9035054215399608,5.2847199800089575,0.0,0.7943245614035085,0.14527192982456139,False,False,True,True,True,1.0,3.0,4.0,4.0,6.0,3.6
class_pair_expert,100,0.9755604288499025,0.9727095516569201,0.977046783625731,0.9716,9,0.9761583820662768,0.9744806591464306,0.9778361049861231,0.008455340120468793,0.9599415204678362,0.9933723196881091,0.08,0.08172688262299778,3.059783138401559,0.9035054215399608,5.805986570001853,0.0,0.7943245614035085,0.14527192982456139,False,False,True,True,True,7.0,2.0,4.0,4.0,1.0,3.6
certainty_lock,100,0.9780458089668616,0.9758771929824561,0.9791910331384016,0.9678,6,0.9774512670565301,0.975566412212775,0.9793361219002852,0.009499237682895987,0.9573099415204679,0.9942982456140351,0.12,0.08183102950566483,3.0,0.9049999999999998,4.825167403344798,0.0,0.7943245614035085,0.14527192982456139,False,False,True,True,True,4.0,6.0,1.0,1.0,7.0,3.8
full_EFAMES,100,0.9779727095516569,0.973416179337232,0.9799707602339182,0.9915,10,0.9770711500974659,0.9753217337578646,0.9788205664370673,0.008816658572555007,0.9613060428849902,0.9915204678362572,0.15,0.08284739875935321,3.26553313840156,0.898361671539961,5.503420509993095,0.021933235867446395,0.7943245614035085,0.14527192982456139,False,False,True,False,True,5.0,1.0,6.0,6.0,2.0,4.0
ECSP3_008CE_reference,100,0.9779727095516569,0.9725633528265107,0.9799707602339182,0.9800;0.9915,8,0.9766427875243664,0.9748199023425251,0.9784656727062077,0.009186924748243069,0.958382066276803,0.9915204678362572,0.15,0.08309325299523408,3.2850185185185183,0.8978745370370369,5.3522839233467785,0.029518031189083818,0.7943245614035085,0.14527192982456139,False,False,True,False,True,5.0,4.0,7.0,7.0,5.0,5.6
