rank,comparison_system,evaluations,mean_accuracy,sd_accuracy,maximum_accuracy,minimum_accuracy,mean_macro_f1,mean_balanced_accuracy,mean_log_loss,mean_worst_dataset_accuracy,mean_active_models,mean_dropout_fraction,mean_cache_reuse_rate,mean_avoided_model_fraction,mean_state_reuse_rate,mean_net_regenerative_efficiency,dataset_accuracy_range,dataset_accuracy_sd,best_unit_share,available_routes,available_models,controller_layers,candidate_budget,accuracy_index,versatility_index,regenerative_use_index,structural_complexity_index,operational_complexity_index,combined_complexity_index,versatility_efficiency_quotient,architecture_value_index,complexity_vs_versatility
1,AX_R_plus_BK,100,0.9846500974658869,0.007381912097773501,0.9962962962962963,0.9680799220272904,0.9844026768694678,0.9838857822107822,0.08847448593452296,0.9748157894736842,3.3833333333333333,0.6616666666666666,0.9960788766442831,0.6616666666666666,0.820075290947894,0.8192005790761305,0.006166666666666654,0.0034377191034298147,0.6166666666666667,2,10,2,20,92.15526879360914,85.87752301755275,72.53441959558057,60.0,47.43366504688494,51.83188228047521,1.6568474699191533,77.86423229517247,Complexity < Versatility
2,Hybrid_R_3route,100,0.9843552631578948,0.008047365060054802,0.9962962962962963,0.9608187134502923,0.9840541836070317,0.983515158015158,0.08582419155959789,0.9732500000000001,3.51,0.6489999999999999,0.9960887945084592,0.6489999999999999,0.8051681424505347,0.8117036019984815,0.007295321637426855,0.003796722826346623,0.6366666666666667,3,10,3,30,69.8160126410368,75.97135157577776,55.62392371617744,100.0,62.45125437862533,75.59331534610646,1.0050009214166682,59.434563992321515,Complexity < Versatility
3,AX_R,100,0.9832928849902534,0.008387413675611103,0.9944444444444444,0.9588206627680312,0.9829226141987739,0.9821962605462605,0.0881882269938662,0.9717631578947368,3.0,0.6999999999999998,0.9961568265544761,0.6999999999999998,0.8067920709614971,0.8304078652030806,0.009649122807017574,0.0048390303004071855,0.5833333333333334,1,10,1,10,19.79941466725631,7.397771956682265,96.18547079716791,20.0,0.0,7.0,1.0568245652403234,46.61633228214386,Complexity < Versatility
4,AY_R,100,0.9828966861598442,0.00846583400560239,0.9962962962962963,0.9626705653021442,0.9826028070031113,0.9819713642213642,0.08920263029152788,0.9707514619883041,3.75,0.6249999999999999,0.9956131158016582,0.6249999999999999,0.7678412433888867,0.7953266958696165,0.006198830409356759,0.003105810093425283,0.5866666666666667,1,10,2,10,6.2368421052630945,36.69028127623817,0.0,32.5,100.0,76.375,0.48039648152194,16.080465055901627,Complexity > Versatility
