function,week_12_output,week_13_output,exact_change,final_status,best_output,best_week_or_weeks
Function 1,0.025559285339829783,0.025559285339829783,0,Best retained,0.025559285339829783,"3;11;12;13"
Function 2,0.7335252043269003,0.6413430885133908,-0.0921821158135095,Declined from Week 12 best,0.7335252043269003,12
Function 3,-0.05985127532683556,-0.05685061601567621,0.00300065931115935,New overall best,-0.05685061601567621,13
Function 4,-4.359874926582439,-4.359874926582439,0,Best retained,-4.359874926582439,"1;12;13"
Function 5,4427.343995806448,4440.957216598753,13.613220792305,New overall best,4440.957216598753,13
Function 6,-0.7078316130911375,-0.6071562248604215,0.1006753882307160,New overall best,-0.6071562248604215,13
Function 7,1.3809299933612855,1.3809299933612855,0,Best retained,1.3809299933612855,"5;12;13"
Function 8,9.58024,9.58024,0,Best retained,9.58024,"1;11;12;13"
