arm,runs,mean_accuracy,mean_target_error,mean_final_error,mean_oscillation,mean_stability,total_loss_of_track,mean_correction_reversals,mean_overshoot,mean_recovery_step,mean_active_modules,mean_compute_cost,composite_score
full_integrated,60,0.9845962084882502,0.0526398486538558,0.015531140326886399,0.052231948284934784,0.9009696989591747,80,7.133333333333334,0.36226623866905877,20.583333333333332,7.0,7.167717135992894,0.8550749667247952
baseline,60,0.9617633359403712,0.06496736112308192,0.03923196424233744,0.054142154676455986,0.8936672768726232,53,6.5,0.3232959754974729,21.733333333333334,1.0,1.1796793254791618,0.663546039324232
cerebellar_only,60,0.9759044402874232,0.09264597104471024,0.02445311401349927,0.051621861820895766,0.8714100688277223,113,8.8,0.3250687118032128,25.5,2.0,2.1720352820620943,0.5768268281493643
basal_ganglia_only,60,0.9659511829523311,0.07597009956964722,0.03480477245565624,0.05863577588704875,0.8853883844161607,81,2.4,0.39782465059395256,21.35,2.0,2.1551622278401967,0.5637167039280059
bg_cerebellar,60,0.9758289240100123,0.12333514909583904,0.024529728273104307,0.061224071825295594,0.8309478217506546,123,4.2,0.39519536433623137,29.3,3.0,3.155174636937251,0.2210152016260341
