function,order,n,spearman_next_change,direction_hit_rate
1,1,11,-0.360885191898185,0.25
1,2,10,-0.5613519843681432,0.25
1,3,9,-0.27852424952911653,0.3333333333333333
1,4,8,-0.10146925788636822,0.6666666666666666
1,5,7,0.4925690038994379,0.5
1,6,6,0.13522468075656266,0.0
1,7,5,0.11180339887498947,0.0
1,8,4,-0.316227766016838,0.0
1,9,3,-0.8660254037844387,0.0
1,10,2,,
2,1,11,-0.790909090909091,0.2727272727272727
2,2,10,-0.8303030303030302,0.1
2,3,9,-0.9,0.1111111111111111
2,4,8,-0.8095238095238096,0.125
2,5,7,-0.8214285714285715,0.14285714285714285
2,6,6,-0.7714285714285715,0.16666666666666666
2,7,5,-0.7999999999999999,0.2
2,8,4,-0.6000000000000001,0.25
2,9,3,-0.5,0.3333333333333333
2,10,2,-0.9999999999999999,0.0
3,1,11,-0.24545454545454545,0.5454545454545454
3,2,10,-0.04242424242424241,0.4
3,3,9,0.33333333333333337,0.4444444444444444
3,4,8,0.5952380952380953,0.625
3,5,7,0.42857142857142866,0.7142857142857143
3,6,6,0.4285714285714286,0.6666666666666666
3,7,5,0.39999999999999997,0.6
3,8,4,0.0,0.5
3,9,3,-0.5,0.3333333333333333
3,10,2,0.9999999999999999,0.5
4,1,11,-0.21818181818181823,0.3
4,2,10,-0.3696969696969697,0.3333333333333333
4,3,9,-0.25,0.25
4,4,8,-0.6904761904761906,0.14285714285714285
4,5,7,-0.8571428571428573,0.16666666666666666
4,6,6,-0.8285714285714287,0.2
4,7,5,-0.7,0.25
4,8,4,-0.39999999999999997,0.3333333333333333
4,9,3,-0.5,0.5
4,10,2,0.9999999999999999,1.0
5,1,11,0.8545454545454546,1.0
5,2,10,-0.33333333333333326,0.4444444444444444
5,3,9,0.016666666666666666,0.625
5,4,8,-0.3571428571428572,0.2857142857142857
5,5,7,-0.3214285714285715,0.3333333333333333
5,6,6,-0.2571428571428572,0.4
5,7,5,-0.49999999999999994,0.25
5,8,4,-0.39999999999999997,0.3333333333333333
5,9,3,0.5,0.3333333333333333
5,10,2,0.9999999999999999,0.5
6,1,11,-0.3181818181818182,0.5454545454545454
6,2,10,-0.18787878787878787,0.4
6,3,9,-0.18333333333333335,0.4444444444444444
6,4,8,-0.7380952380952381,0.25
6,5,7,-0.42857142857142866,0.2857142857142857
6,6,6,-0.3142857142857143,0.3333333333333333
6,7,5,-0.39999999999999997,0.4
6,8,4,-1.0,0.25
6,9,3,-1.0,0.3333333333333333
6,10,2,-0.9999999999999999,0.5
7,1,11,0.045454545454545456,0.5
7,2,10,0.6,0.6666666666666666
7,3,9,0.5666666666666667,0.875
7,4,8,0.3571428571428572,0.5714285714285714
7,5,7,0.0,0.3333333333333333
7,6,6,0.14285714285714288,0.4
7,7,5,0.39999999999999997,0.5
7,8,4,0.0,0.6666666666666666
7,9,3,-0.5,0.5
7,10,2,-0.9999999999999999,0.0
8,1,11,-0.18678863950706415,0.4444444444444444
8,2,10,-0.6079055436800646,0.125
8,3,9,-0.6443571047419068,0.14285714285714285
8,4,8,-0.4910267673844361,0.3333333333333333
8,5,7,-0.12613124477737828,0.4
8,6,6,0.40583972495671394,0.75
8,7,5,0.35909242322980395,0.6666666666666666
8,8,4,0.9486832980505139,1.0
8,9,3,0.8660254037844387,1.0
8,10,2,,
