feature,standardised_coefficient,bootstrap_95_low,bootstrap_95_high,same_sign_stability,bootstrap_samples
delta1_scaled,-0.43849389494056273,-1.0502079069225547,-0.012171181610695827,0.976,250
delta2_scaled,-0.3601606536338973,-0.6063380347788792,0.19938202825895956,0.9,250
delta3_scaled,0.6157715650180955,0.17497509201506672,0.8732316329909359,1.0,250
delta4_scaled,0.04029509363984796,-0.29897984377709924,0.3565128761456452,0.54,250
delta5_scaled,-0.6876125900797461,-1.0281134576178061,-0.06842156912645121,0.984,250
delta1_sign_switch,0.05257094183174303,-0.5206392580889451,0.6248134147679708,0.576,250
delta1_persistence,0.44104265434839957,-0.006301741066613684,0.8875609864779613,0.972,250
cross_level_coherence,-0.5257252365940686,-1.1728571112520192,0.13029432240584923,0.936,250
