function,event_week,lag,scaled_delta1,new_best_event
1,7,-5,-3.5755169937459707e-17,0
1,7,-4,1.333338557672689,0
1,7,-3,-1.3333308607240744,0
1,7,-2,0.6666615818877324,0
1,7,-1,-0.6666691392759257,0
1,8,-5,2.0000004186797034,0
1,8,-4,-1.999988873299602,0
1,8,-3,0.9999886639597543,0
1,8,-2,-1.0,0
1,8,-1,-2.0933985559836183e-07,0
1,9,-5,-1.999988873299602,0
1,9,-4,0.9999886639597543,0
1,9,-3,-1.0,0
1,9,-2,-2.0933985559836183e-07,0
1,9,-1,0.0,0
1,10,-5,0.9999886639597543,0
1,10,-4,-1.0,0
1,10,-3,-2.0933985559836183e-07,0
1,10,-2,0.0,0
1,10,-1,0.0,0
1,11,-5,-1.0,0
1,11,-4,-2.0933985559836183e-07,0
1,11,-3,0.0,0
1,11,-2,0.0,0
1,11,-1,2.2653773252353836e-21,0
1,12,-5,-1.3956042134790648e-07,0
1,12,-4,0.0,0
1,12,-3,0.0,0
1,12,-2,1.5102571515498721e-21,0
1,12,-1,1.333338557672689,0
1,13,-5,0.0,0
1,13,-4,0.0,0
1,13,-3,1.5102571515498721e-21,0
1,13,-2,1.333338557672689,0
1,13,-1,0.0,0
2,7,-5,-0.15786395175716877,0
2,7,-4,-1.0,0
2,7,-3,1.408294741586397,0
2,7,-2,-0.8949977224335554,0
2,7,-1,1.073503457212924,0
2,8,-5,-0.9645510804637274,0
2,8,-4,1.3583722146085448,0
2,8,-3,-0.863271020185861,0
2,8,-2,1.0354489195362726,0
2,8,-1,-1.178590266104118,0
2,9,-5,1.3118679144664076,0
2,9,-4,-0.8337166652049609,0
2,9,-3,1.0,0
2,9,-2,-1.1382408575325489,0
2,9,-1,1.1246021509026145,0
2,10,-5,-0.863271020185861,0
2,10,-4,1.0354489195362726,0
2,10,-3,-1.178590266104118,0
2,10,-2,1.1644680820602804,0
2,10,-1,-0.33544796311396374,0
2,11,-5,1.073503457212924,1
2,11,-4,-1.2219054957021944,1
2,11,-3,1.2072642969830472,1
2,11,-2,-0.34777625561591863,1
2,11,-1,0.2146549380681274,1
2,12,-5,-1.289611571810254,1
2,12,-4,1.2741591007641726,1
2,12,-3,-0.3670466212163089,1
2,12,-2,0.22654901958664903,1
2,12,-1,0.20891721207115493,1
2,13,-5,1.3489020884884704,0
2,13,-4,-0.38857781075720843,0
2,13,-3,0.23983852996236354,0
2,13,-2,0.2211724293417954,0
2,13,-1,0.6126221257201698,0
3,7,-5,-0.5868127281982519,0
3,7,-4,0.10058173680333506,0
3,7,-3,1.2605076110645674,0
3,7,-2,-1.0,0
3,7,-1,-3.6094957370192,0
3,8,-5,0.08899039871488593,0
3,8,-4,1.1152429701140816,0
3,8,-3,-0.8847570298859186,0
3,8,-2,-3.193526727670992,0
3,8,-1,3.5695045775259704,0
3,9,-5,1.2605076110645674,0
3,9,-4,-1.0,0
3,9,-3,-3.6094957370192,0
3,9,-2,4.034446132613634,0
3,9,-1,-0.14832181344796833,0
3,10,-5,-1.260388175907123,0
3,10,-4,-4.549365747926165,0
3,10,-3,5.084968201880445,0
3,10,-2,-0.18694305989892138,0
3,10,-1,-0.3898227048173095,0
3,11,-5,-6.1510181418555545,0
3,11,-4,6.87518511229466,0
3,11,-3,-0.25275834405190084,0
3,11,-2,-0.5270639166638814,0
3,11,-1,0.9132905558539782,0
3,12,-5,7.186765325589548,1
3,12,-4,-0.2642132354425224,1
3,12,-3,-0.5509502098897172,1
3,12,-2,0.9546804619503703,1
3,12,-1,0.7168361875610759,1
3,13,-5,-0.27675567477598356,1
3,13,-4,-0.5771043106550543,1
3,13,-3,1.0,1
3,13,-2,0.7508650445161631,1
3,13,-1,0.1944091145691085,1
4,7,-5,-2.3456659344062163,0
4,7,-4,1.0710538579141684,0
4,7,-3,-1.0,0
4,7,-2,-0.611244231872985,0
4,7,-1,-0.4704969169581935,0
4,8,-5,1.0343080686398611,0
4,8,-4,-0.965691931360139,0
4,8,-3,-0.5902736228101675,0
4,8,-2,-0.4543550764363488,0
4,8,-1,2.4701217847400065,0
4,9,-5,-1.0,0
4,9,-4,-0.611244231872985,0
4,9,-3,-0.4704969169581935,0
4,9,-2,2.557877625901811,0
4,9,-1,-0.1949333769247576,0
4,10,-5,-0.7587232522315334,0
4,10,-4,-0.5840168829169567,0
4,10,-3,3.1750340206691265,0
4,10,-2,-0.24196626814068778,0
4,10,-1,0.08009459076325622,0
4,11,-5,-0.7697363711989377,0
4,11,-4,4.1847063620771,0
4,11,-3,-0.3189124195535382,0
4,11,-2,0.10556496130530398,0
4,11,-1,-0.346661489854651,0
4,12,-5,3.1750340206691265,0
4,12,-4,-0.24196626814068778,0
4,12,-3,0.08009459076325622,0
4,12,-2,-0.2630201330059495,0
4,12,-1,1.3370269269112371,0
4,13,-5,-0.3189124195535382,0
4,13,-4,0.10556496130530398,0
4,13,-3,-0.346661489854651,0
4,13,-2,1.7622063420078597,0
4,13,-1,0.10411448240461905,0
5,7,-5,2.010176050350335,1
5,7,-4,1.2004245395124804,1
5,7,-3,0.895163230236154,1
5,7,-2,1.0,1
5,7,-1,0.5419379358226962,1
5,8,-5,1.2668297066558187,1
5,8,-4,0.9446819313021483,1
5,8,-3,1.0553180686978516,1
5,8,-2,0.5719168957865081,1
5,8,-1,0.8465113178478355,1
5,9,-5,1.0,1
5,9,-4,1.1171146962059522,1
5,9,-3,0.6054068325390521,1
5,9,-2,0.8960807757601603,1
5,9,-1,0.20276561628666348,1
5,10,-5,1.1783408286053512,0
5,10,-4,0.6385875963499895,0
5,10,-3,0.9451926175464875,0
5,10,-2,0.2138786689669088,0
5,10,-1,0.09419742948931353,0
5,11,-5,0.6385875963499895,1
5,11,-4,0.9451926175464875,1
5,11,-3,0.2138786689669088,1
5,11,-2,0.09419742948931353,1
5,11,-1,0.0,1
5,12,-5,1.0,1
5,12,-4,0.2262805115026087,1
5,12,-3,0.09965950615846893,1
5,12,-2,0.0,1
5,12,-1,0.04541673605513988,1
5,13,-5,0.270086299967994,1
5,13,-4,0.1189526534841162,1
5,13,-3,0.0,1
5,13,-2,0.05420899093917022,1
5,13,-1,0.05466009994993356,1
6,7,-5,-4.486927364275585,0
6,7,-4,4.654952183502282,0
6,7,-3,-0.7352791748298736,0
6,7,-2,-0.656646912837602,0
6,7,-1,-1.0,0
6,8,-5,5.032694994442753,0
6,8,-4,-0.7949460438711053,0
6,8,-3,-0.7099328846097194,0
6,8,-2,-1.0811485910165173,0
6,8,-1,0.9188514089834827,0
6,9,-5,-0.8651519017101441,0
6,9,-4,-0.7726307841167833,0
6,9,-3,-1.1766304980830171,0
6,9,-2,1.0,0
6,9,-1,-1.6734211837218315e-05,0
6,10,-5,-0.8284910021627342,0
6,10,-4,-1.2616993790202005,0
6,10,-3,1.0722987217106632,0
6,10,-2,-1.794407396188465e-05,0
6,10,-1,-0.22141137017411458,0
6,11,-5,-1.3600276387963477,0
6,11,-4,1.1558663837220977,0
6,11,-3,-1.9342512920725057e-05,0
6,11,-2,-0.23866666496611152,0
6,11,-1,-0.24531436283226876,0
6,12,-5,1.0722987217106632,0
