function,week,output,output_normalised,coordinate_movement
1,1,6.854713532414846e-19,2.681887791961447e-17,0.15811388300841894
1,2,6.659572754640724e-23,2.6055395000669044e-21,0.0
1,3,0.0255592853398297,1.0,0.0
1,4,1.475458012954249e-07,5.772688842183723e-06,
1,5,0.0127796426699149,0.500000000000002,0.056568542494923775
1,6,2.6752879910742468e-09,1.0466990588759834e-07,0.044721359549995836
1,7,-1.4546199699251393e-58,0.0,0.12649110640673514
1,8,-1.4546199699251393e-58,0.0,0.044721359549995836
1,9,-1.4546199699251393e-58,0.0,0.06708203932499365
1,10,2.895070666849904e-23,1.1326884255008648e-21,0.06946221994724908
1,11,0.0255592853398297,1.0,0.060207972893961535
1,12,0.0255592853398297,1.0,0.007071067811865481
1,13,0.0255592853398297,1.0,0.026925824035672542
2,1,0.4549418539972751,0.5298464235837402,0.01732050807568879
2,2,0.4121372131688809,0.45760680499608597,0.008660254037844395
2,3,0.1409882880853532,0.0,0.03774917217635378
2,4,0.5228458934672892,0.6444452571901396,1.049023355316744
2,5,0.2801682230772251,0.23488820894854653,0.01732050807568879
2,6,0.5712475315739602,0.7261306961560051,0.008660254037844395
2,7,0.2399291698606551,0.1669784262605653,
2,8,0.5672775862793291,0.7194307839888233,0.8624384035976135
2,9,0.4729784283994986,0.5602860028029207,1.2000000000000002
2,10,0.5311818841205426,0.6585135631889092,0.2
2,11,0.5848554940277205,0.7490962905025572,0.09999999999999998
2,12,0.7335252043269003,1.0,0.06000000000000002
2,13,0.6413430885133908,0.8444280629834522,1.172433366976563
3,1,-0.1018363397174616,0.8202955754071783,0.0
3,2,-0.1332555781557258,0.6947851756607616,0.010050870609056704
3,3,-0.1278702117188699,0.7162980934738028,0.010050870609056704
3,4,-0.0603798740316063,0.9859016766030786,0.010049776266166334
3,5,-0.1139220637771044,0.7720167458317516,
3,6,-0.3071823694141529,0.0,1.2202049008260867
3,7,-0.0911692890637627,0.8629072317747153,1.088577052853862
3,8,-0.0991107637427902,0.8311834309735188,0.18708286933869722
3,9,-0.1156707106126581,0.7650314281011231,0.18708286933869703
3,10,-0.0869758168748671,0.8796588908509829,0.1118033988749894
3,11,-0.0654298242110541,0.9657286457714314,1.2469963913339925
3,12,-0.0598512753268355,0.988013269309935,0.03316624790355393
3,13,-0.0568506160156762,1.0,0.0
4,1,-4.359874926582439,1.0,
4,2,-23.120154471959825,0.30112661661815354,
4,3,-14.554028542475695,0.6202389942526687,
4,4,-22.55187651826871,0.32229657494616165,
4,5,-27.44051496086922,0.1401809897147769,
4,6,-31.20347777578016,0.0,
4,7,-10.74596138313512,0.7621002481511701,
4,8,-12.305008897187289,0.7040213262266206,
4,9,-11.788939969158545,0.7232463509346645,
4,10,-13.483642655031158,0.6601138908326011,
4,11,-4.868852987697114,0.9810391301058201,
4,12,-4.359874926582439,1.0,
4,13,-4.359874926582439,1.0,
5,1,1415.8763939603884,0.0,
5,2,2308.1487028593933,0.2949581717690431,
5,3,2840.9903787629305,0.4710994741487965,
5,4,3238.333368768757,0.6024490192691409,
5,5,3682.21106233868,0.7491815264630445,
5,6,3922.765223349704,0.8287014385297973,
5,7,4278.816638076986,0.9464012408169797,
5,8,4359.384134322703,0.9730344122822793,
5,9,4394.868042481448,0.9847643164531693,
5,10,4394.868042481448,0.9847643164531693,
5,11,4411.0387356061765,0.9901098573073883,
5,12,4427.343995806448,0.9954998819567301,
5,13,4440.957216598753,1.0,
6,1,-0.7001549808025808,0.9364367569328911,
6,2,-2.070246392301577,0.0,
6,3,-0.648848297397347,0.9715040990195144,
6,4,-0.8733671274789931,0.8180488745378174,
6,5,-1.073875453695542,0.6810044662856424,
6,6,-1.3792272680368016,0.47230111967283644,
6,7,-1.119713499832813,0.6496748550577582,
6,8,-1.119717842591185,0.649671886848096,
6,9,-1.1733030029888645,0.6130472401994234,
6,10,-1.22838069673419,0.5754024695824131,
6,11,-0.7268715077444687,0.9181764148593652,
6,12,-0.7078316130911375,0.9311898948738134,
6,13,-0.6071562248604215,1.0,
7,1,1.3199939052019112,0.8741840728913225,
7,2,1.0696579739950232,0.3573106039047287,
7,3,0.8966026942687082,0.0,
7,4,1.1968303712356705,0.6198859274078931,
7,5,1.3809299933612855,1.0,
7,6,1.3529491169887171,0.9422273400136796,
7,7,1.1543358123792982,0.5321465847443905,
7,8,1.3346391663186332,0.9044224285325614,
7,9,1.314307996450604,0.8624442664382066,
7,10,1.285160161342515,0.8022621640403043,
7,11,1.3579108517237013,0.952471930282038,
7,12,1.3809299933612855,1.0,
7,13,1.3809299933612855,1.0,
8,1,9.58024,1.0,
8,2,9.5241,0.5910547785547859,
8,3,9.44296,0.0,
8,4,9.53944,0.7027972027972108,
8,5,9.5113,0.4978146853146904,
8,6,9.5148,0.5233100233100206,
8,7,9.49476,0.3773310023310014,
8,8,9.47621,0.24220571095571491,
8,9,9.4709436,0.20384324009324417,
8,10,9.4646525,0.15801646270396458,
8,11,9.58024,1.0,
8,12,9.58024,1.0,
8,13,9.58024,1.0,
