target,feature,feature_label,cases,events,event_mean,non_event_mean,mean_difference,standardised_difference,permutation_p,holm_p
positive_event,amplitude,Peak amplitude,56,29,2.2342454204816717,2.1971982657310054,0.03704715475066633,0.023991426985177054,0.8902195608782435,1.0
positive_event,energy,Oscillation energy,56,29,2.4988202201229757,1.8745048468900676,0.6243153732329081,0.199530259801259,0.3992015968063872,1.0
positive_event,temporal_dispersion,Temporal dispersion,56,29,0.8482888226900438,0.9118361066304524,-0.06354728394040865,-0.16021372383616544,0.5508982035928144,1.0
positive_event,sign_change_rate,Sign-change frequency,56,29,0.45689655172413796,0.5555555555555556,-0.09865900383141762,-0.31026060286555135,0.3413173652694611,1.0
positive_event,peak_spacing,Peak spacing,56,29,2.7241379310344827,2.074074074074074,0.6500638569604087,0.3758233061454366,0.08582834331337326,0.6866267465069861
positive_event,persistence,Directional persistence,56,29,0.5103448275862069,0.45925925925925926,0.05108556832694766,0.24513789781287196,0.5868263473053892,1.0
positive_event,amplification,Late amplification,56,29,-1.1972694450054233,-0.2790401049548191,-0.9182293400506042,-0.5439221954906943,0.041916167664670656,0.3772455089820359
positive_event,delta2_energy,Delta 2 energy,56,29,6.469880295519362,4.7223602825099,1.7475200130094617,0.18472314915750823,0.49101796407185627,1.0
positive_event,flicker_density,Flicker density,56,29,0.11034482758620691,0.14074074074074078,-0.03039591315453387,-0.21641216544462424,0.21956087824351297,1.0
large_event,amplitude,Peak amplitude,56,6,2.2499826120498105,2.2123514939281352,0.0376311181216753,0.0243695967710046,0.9720558882235529,1.0
large_event,energy,Oscillation energy,56,6,1.6303721369926294,2.265903688552847,-0.6355315515602176,-0.20311493362410013,0.6167664670658682,1.0
large_event,temporal_dispersion,Temporal dispersion,56,6,0.6207209627598098,0.9099124992094925,-0.28919153644968265,-0.7291020179549137,0.11177644710578842,1.0
large_event,sign_change_rate,Sign-change frequency,56,6,0.4583333333333333,0.51,-0.051666666666666694,-0.16248016425794026,0.7005988023952096,1.0
large_event,peak_spacing,Peak spacing,56,6,2.5,2.4,0.10000000000000009,0.05781329051313892,0.908183632734531,1.0
large_event,persistence,Directional persistence,56,6,0.5,0.48400000000000004,0.01599999999999996,0.07677718959499126,1.0,1.0
large_event,amplification,Late amplification,56,6,-1.2397779507305395,-0.6963245806910833,-0.5434533700394563,-0.32191995755917285,0.49500998003992014,1.0
large_event,delta2_energy,Delta 2 energy,56,6,3.568140386179238,5.874428277615067,-2.306287891435829,-0.24378820213691543,0.5349301397205589,1.0
large_event,flicker_density,Flicker density,56,6,0.10000000000000002,0.128,-0.027999999999999983,-0.19935379475663595,0.8283433133732535,1.0
new_best_event,amplitude,Peak amplitude,56,11,1.7764898498043684,2.323912933796835,-0.5474230839924665,-0.35450660213979013,0.36726546906187624,1.0
new_best_event,energy,Oscillation energy,56,11,1.5738459743831432,2.350335811808524,-0.7764898374253806,-0.24816499102405398,0.38323353293413176,1.0
new_best_event,temporal_dispersion,Temporal dispersion,56,11,0.8026220328510889,0.8975801861260335,-0.09495815327494461,-0.2394059730239733,0.3932135728542914,1.0
new_best_event,sign_change_rate,Sign-change frequency,56,11,0.25,0.5666666666666667,-0.31666666666666665,-0.9958461680325366,0.13373253493013973,0.9361277445109781
new_best_event,peak_spacing,Peak spacing,56,11,4.0,2.022222222222222,1.9777777777777779,1.1434184123709688,0.033932135728542916,0.30538922155688625
new_best_event,persistence,Directional persistence,56,11,0.6363636363636364,0.44888888888888895,0.1874747474747474,0.8996115144463642,0.6127744510978044,1.0
new_best_event,amplification,Late amplification,56,11,-1.061058306339274,-0.679627897093453,-0.38143040924582106,-0.2259440605682098,0.5289421157684631,1.0
new_best_event,delta2_energy,Delta 2 energy,56,11,2.244769171808732,6.454173229065172,-4.209404057256441,-0.444958780296722,0.0998003992015968,0.7984031936127745
new_best_event,flicker_density,Flicker density,56,11,0.05454545454545456,0.14222222222222225,-0.08767676767676769,-0.6242391552985574,0.249500998003992,1.0
