function,end_week,delta1_scaled,delta2_scaled,delta3_scaled,delta4_scaled,delta5_scaled,delta1_sign_switch,delta1_persistence,cross_level_coherence,influence_state,next_change,next_improved
1,6,-0.4999998953300961,-0.49999850448852196,-0.7142842706531686,-0.9230748574911951,-1.0,1,0.3333333333333333,1.0,Reversal,-2.6752879910742468e-09,0
1,7,-1.0466990588759834e-07,0.25000061691798103,0.4285718100961612,0.615383184650399,0.7999990411962619,0,0.3333333333333333,0.6,Plateau,0.0,0
1,8,0.0,5.233510400093463e-08,-0.14285776000299305,-0.3076924160218519,-0.47999982791958323,0,1.0,0.5,Plateau,0.0,0
1,9,0.0,0.0,-2.990583537109851e-08,0.0769232857749465,0.20000037975565874,0,1.0,0.3333333333333333,Plateau,2.895070666849904e-23,1
1,10,1.1326884255008648e-21,5.663458474196096e-22,3.2362686574070144e-22,1.6103119649353222e-08,-0.04000014319368691,0,1.0,0.6,Plateau,0.0255592853398297,1
1,11,1.0,0.5000014431763761,0.2857156994409972,0.1538467003748496,0.08000036175005441,0,1.0,1.0,Directed improvement,0.0,0
1,12,0.0,-0.5000014431763761,-0.5714313988819943,-0.4615401011245488,-0.3200014804947425,0,1.0,1.0,Plateau,0.0,0
2,6,0.762271863632508,0.8173838299998878,0.9066570260194687,1.0,1.0,1,0.3333333333333333,1.0,Reversal,-0.33131836171330514,0
2,7,-0.867648979734,-0.9531262570473752,-0.9049838083200374,-0.9501660810605629,-1.0,1,0.3333333333333333,1.0,Reversal,0.327348416418674,1
2,8,0.8572525774136629,1.0,1.0,1.0,1.0,1,0.3333333333333333,1.0,Reversal,-0.09429915787983051,0
2,9,-0.24694848695107696,-0.6401530915136237,-0.8432943040677223,-0.9688824460853551,-1.0,1,0.3333333333333333,1.0,Reversal,0.05820345572104396,1
2,10,0.15242188423307312,0.23153226891658568,0.44818212592071877,0.6788329133266885,0.8368784854007539,1,0.3333333333333333,1.0,Reversal,0.053673609907177955,1
2,11,0.14055922718494326,-0.0068772951122765555,-0.12257967163008482,-0.30000694155173807,-0.49715505200658977,0,0.3333333333333333,0.6,Irregular or oscillating,0.14866971029917975,1
2,12,0.3893328513137234,0.14422482436630063,0.07769003841662797,0.1052668616827316,0.20583951268409054,0,1.0,1.0,Directed improvement,-0.09218211581350944,0
3,6,-1.0,-1.0,-0.10203037932234214,0.788973299924463,1.0,0,0.3333333333333333,0.2,Irregular or oscillating,0.21601308035039019,1
3,7,1.0,1.0,1.0,1.0,1.0,1,0.3333333333333333,1.0,Reversal,-0.007941474679027491,0
3,8,-0.03676386016136521,-0.5472003865804537,-1.0,-1.0,-1.0,1,0.3333333333333333,1.0,Plateau,-0.016559946869867906,0
3,9,-0.07666177827290074,-0.021057983455354538,0.3400609304965036,0.7177720083649419,1.0,0,0.3333333333333333,0.2,Irregular or oscillating,0.028694893737790994,1
3,10,0.1328386859316372,0.11057362183097791,0.08507728309017434,-0.13657597243078246,-0.4973581922602953,1,0.3333333333333333,0.2,Reversal,0.021545992663813004,1
3,11,0.09974392582552738,-0.01746730014396148,-0.08275652144705647,-0.08989621606950624,0.027174593679465217,0,0.3333333333333333,0.2,Irregular or oscillating,0.005578548884218604,1
3,12,0.02582505131249348,-0.03901412680687835,-0.013926332264263847,0.03686726625748818,0.07379528931063092,0,1.0,0.2,Plateau,0.0030006593111592955,1
4,6,-0.20058138290578684,0.04119369555301059,-0.045192908640031705,-0.3407096201604445,-1.0,0,1.0,0.6,Directed decline,20.45751639264504,1
4,7,1.0,0.8863397430678257,0.526192844674232,0.39453951876384813,0.5484029709850999,1,0.3333333333333333,1.0,Reversal,-1.5590475140521693,0
4,8,-0.07620903164045288,-0.8056882536911409,-1.0,-1.0,-1.0,1,0.3333333333333333,1.0,Reversal,0.5160689280287443,1
4,9,0.025226372455176584,0.07593814136988794,0.5210471675112706,1.0,1.0,1,0.3333333333333333,1.0,Plateau,-1.6947026858726133,0
4,10,-0.08284009912766825,-0.08090239369152014,-0.09269381792844553,-0.4034989831669164,-0.7067584770470574,1,0.3333333333333333,1.0,Reversal,8.614789667334044,1
4,11,0.42110633089514543,0.37727217224712223,0.2707842700098717,0.23896569133555415,0.32352524679663264,1,0.3333333333333333,1.0,Reversal,0.508978061114675,1
4,12,0.024879758194776013,-0.2966292662851753,-0.39828031204160763,-0.4398710285534401,-0.34184107866596625,0,0.3333333333333333,0.6,Plateau,0.0,0
5,6,0.26959725031459153,-0.56568225936787,-1.0,-1.0,-1.0,0,1.0,0.6,Directed improvement,356.05141472728246,1
5,7,0.3990389606135176,0.3213339184635253,1.0,1.0,1.0,0,1.0,1.0,Directed improvement,80.56749624571694,1
5,8,0.0902947401170961,-0.7664452976244773,-1.0,-1.0,-1.0,0,1.0,0.6,Directed improvement,35.48390815874518,1
5,9,0.0397680257527319,-0.12543056698102925,0.5892875329506104,0.8754293999543389,1.0,0,1.0,0.6,Plateau,0.0,0
5,10,0.0,-0.09872254866822278,0.02455279335898414,-0.31107359993959693,-0.6326567131361083,0,1.0,0.5,Plateau,16.170693124728132,1
5,11,0.01812304714990149,0.04498974667229334,0.13211531643098579,0.05924880997189788,0.19746006430341292,0,1.0,1.0,Plateau,16.305260200271732,1
5,12,0.018273861059737655,0.0003743895572342528,-0.04101508509742445,-0.09536565308763419,-0.08244216661170849,0,1.0,0.2,Plateau,13.613220792304674,1
6,6,-0.2148249779115072,-0.037558259805102925,-0.02903813161632601,-0.29452809720313416,-1.0,0,1.0,1.0,Directed decline,0.2595137682039885,1
6,7,0.18257641482309278,0.2023527515505746,0.1509235363099951,0.13075477465847532,0.3285234772272966,1,0.3333333333333333,1.0,Reversal,-4.342758371800315e-06,0
6,8,-3.0552724021294807e-06,-0.0929676111506304,-0.18578052433424275,-0.24463911722665108,-0.28998512484678846,1,0.3333333333333333,1.0,Plateau,-0.053585160397679577,0
6,9,-0.037698911086052916,-0.0191943467874058,0.046409382712005745,0.16870225378347983,0.3192988795709935,0,0.3333333333333333,0.2,Plateau,-0.05507769374532545,0
6,10,-0.03874895706050347,-0.0005346727416392732,0.011738452426444963,-0.025190862748306165,-0.1497789943305964,0,1.0,0.6,Plateau,0.5015091889897212,1
6,11,0.3528280998740972,0.19938705893693176,0.12576702736422302,0.0828497579091149,0.08345946363840691,1,0.3333333333333333,1.0,Reversal,0.019039894653331224,1
6,12,0.01339518796429376,-0.1728357900789823,-0.23415844212993722,-0.2615110995571718,-0.2660126560483997,0,0.3333333333333333,0.6,Plateau,0.10067538823071598,1
7,6,-0.09319885713150786,-0.44810508280277556,-0.1627937751061163,0.5007630397228707,1.0,1,0.3333333333333333,0.2,Reversal,-0.19861330460941895,0
7,7,-0.6615422888918892,-0.3605294165440086,0.07032116714856805,0.139434399335807,-0.2407632856242157,0,0.3333333333333333,0.2,Irregular or oscillating,0.18030335393933505,1
7,8,0.600555404354596,0.800613360760253,0.932369901530626,0.5156222347404653,0.2506643790175728,1,0.3333333333333333,1.0,Reversal,-0.020331169868029297,0
7,9,-0.06771917257404148,-0.4239208722180768,-0.9832717255267517,-1.0,-1.0,1,0.3333333333333333,1.0,Reversal,-0.029147835108088938,0
7,10,-0.09708576971501674,-0.01862874019732238,0.3254398964618538,0.6831714259618178,1.0,0,0.3333333333333333,0.2,Irregular or oscillating,0.07275069038118631,1
7,11,0.24231840020929168,0.21530148941178356,0.18784038398107025,-0.07182946462285357,-0.4485585240690738,1,0.3333333333333333,0.2,Reversal,0.02301914163758423,1
7,12,0.0766722837485676,-0.10507783565895834,-0.2572569417019959,-0.2323489526414089,-0.09536728436726484,0,0.3333333333333333,0.6,Irregular or oscillating,0.0,0
8,6,0.03627694859036998,0.17813309312013823,0.5170063525674926,0.9081725626906417,1.0,1,0.3333333333333333,1.0,Plateau,-0.020039999999999836,0
8,7,-0.20771144278606482,-0.13253012048191878,-0.18257014293275994,-0.41880917482073365,-0.6954201959807287,1,0.3333333333333333,1.0,Reversal,-0.0185499999999994,0
8,8,-0.19226782752901245,0.00838869496678534,0.08281498147167426,0.15887572792456506,0.30274248463709547,0,0.3333333333333333,0.6,Irregular or oscillating,-0.005266400000000004,0
8,9,-0.05458540630182344,0.07478662312802155,0.03902064584435805,-0.026217961415045767,-0.09700049825609967,0,1.0,0.2,Directed decline,-0.006291100000000327,0
8,10,-0.06520626036484486,-0.005769057538567203,-0.04734085494970717,-0.051701263716670325,-0.013354820627800832,0,1.0,1.0,Directed decline,0.11558750000000018,1
8,11,1.0,0.6861761062943283,0.4066414107993611,0.2717814839757515,0.1695248920445073,1,0.3333333333333333,1.0,Reversal,0.0,0
8,12,0.0,-0.65075723454565,-0.7856872022233886,-0.7138006576080391,-0.5165057714665274,0,0.0,1.0,Plateau,0.0,0
