threshold_multiplier,feature,feature_label,events,event_mean,non_event_mean,mean_difference,permutation_p
1.0,amplitude,Peak amplitude,9,1.9885946485039174,2.2600025219610718,-0.27140787345715434,0.5508982035928144
1.0,energy,Oscillation energy,9,1.4726670231097865,2.3366683838640436,-0.8640013607542572,0.313373253493014
1.0,temporal_dispersion,Temporal dispersion,9,0.8106184116083143,0.892008192182099,-0.08138978057378476,0.5389221556886228
1.0,sign_change_rate,Sign-change frequency,9,0.5555555555555556,0.4946808510638298,0.06087470449172577,0.8922155688622755
1.0,peak_spacing,Peak spacing,9,2.111111111111111,2.4680851063829787,-0.3569739952718676,0.7984031936127745
1.0,persistence,Directional persistence,9,0.4444444444444444,0.49361702127659574,-0.049172576832151316,0.7764471057884231
1.0,amplification,Late amplification,9,-0.8570758750286643,-0.734919443908073,-0.12215643112059138,0.8582834331337326
1.0,delta2_energy,Delta 2 energy,9,3.574265634282471,6.020465223176309,-2.446199588893838,0.35728542914171657
1.0,flicker_density,Flicker density,9,0.08888888888888889,0.1319148936170213,-0.04302600472813241,0.3013972055888224
1.25,amplitude,Peak amplitude,6,2.2499826120498105,2.2123514939281352,0.0376311181216753,0.9720558882235529
1.25,energy,Oscillation energy,6,1.6303721369926294,2.265903688552847,-0.6355315515602176,0.656686626746507
1.25,temporal_dispersion,Temporal dispersion,6,0.6207209627598098,0.9099124992094925,-0.28919153644968265,0.10978043912175649
1.25,sign_change_rate,Sign-change frequency,6,0.4583333333333333,0.51,-0.051666666666666694,0.6946107784431138
1.25,peak_spacing,Peak spacing,6,2.5,2.4,0.10000000000000009,0.8642714570858283
1.25,persistence,Directional persistence,6,0.5,0.48400000000000004,0.01599999999999996,1.0
1.25,amplification,Late amplification,6,-1.2397779507305395,-0.6963245806910833,-0.5434533700394563,0.5429141716566867
1.25,delta2_energy,Delta 2 energy,6,3.568140386179238,5.874428277615067,-2.306287891435829,0.5249500998003992
1.25,flicker_density,Flicker density,6,0.10000000000000002,0.128,-0.027999999999999983,0.8383233532934131
1.5,amplitude,Peak amplitude,6,2.2499826120498105,2.2123514939281352,0.0376311181216753,0.9820359281437125
1.5,energy,Oscillation energy,6,1.6303721369926294,2.265903688552847,-0.6355315515602176,0.6027944111776448
1.5,temporal_dispersion,Temporal dispersion,6,0.6207209627598098,0.9099124992094925,-0.28919153644968265,0.1497005988023952
1.5,sign_change_rate,Sign-change frequency,6,0.4583333333333333,0.51,-0.051666666666666694,0.7005988023952096
1.5,peak_spacing,Peak spacing,6,2.5,2.4,0.10000000000000009,0.872255489021956
1.5,persistence,Directional persistence,6,0.5,0.48400000000000004,0.01599999999999996,1.0
1.5,amplification,Late amplification,6,-1.2397779507305395,-0.6963245806910833,-0.5434533700394563,0.5369261477045908
1.5,delta2_energy,Delta 2 energy,6,3.568140386179238,5.874428277615067,-2.306287891435829,0.5329341317365269
1.5,flicker_density,Flicker density,6,0.10000000000000002,0.128,-0.027999999999999983,0.8143712574850299
1.75,amplitude,Peak amplitude,6,2.2499826120498105,2.2123514939281352,0.0376311181216753,0.9600798403193613
1.75,energy,Oscillation energy,6,1.6303721369926294,2.265903688552847,-0.6355315515602176,0.6287425149700598
1.75,temporal_dispersion,Temporal dispersion,6,0.6207209627598098,0.9099124992094925,-0.28919153644968265,0.1317365269461078
1.75,sign_change_rate,Sign-change frequency,6,0.4583333333333333,0.51,-0.051666666666666694,0.6826347305389222
1.75,peak_spacing,Peak spacing,6,2.5,2.4,0.10000000000000009,0.8682634730538922
1.75,persistence,Directional persistence,6,0.5,0.48400000000000004,0.01599999999999996,1.0
1.75,amplification,Late amplification,6,-1.2397779507305395,-0.6963245806910833,-0.5434533700394563,0.5508982035928144
1.75,delta2_energy,Delta 2 energy,6,3.568140386179238,5.874428277615067,-2.306287891435829,0.5109780439121756
1.75,flicker_density,Flicker density,6,0.10000000000000002,0.128,-0.027999999999999983,0.8263473053892215
2.0,amplitude,Peak amplitude,5,1.863037862044353,2.2510251187938013,-0.38798725674944823,0.6626746506986028
2.0,energy,Oscillation energy,5,1.2229551764349877,2.293385124851435,-1.0704299484164475,0.4550898203592814
2.0,temporal_dispersion,Temporal dispersion,5,0.6818618686255975,0.8982478704687351,-0.2163860018431376,0.36926147704590817
2.0,sign_change_rate,Sign-change frequency,5,0.35,0.5196078431372549,-0.16960784313725497,0.15768463073852296
2.0,peak_spacing,Peak spacing,5,2.8,2.372549019607843,0.4274509803921567,0.6766467065868264
2.0,persistence,Directional persistence,5,0.5599999999999999,0.47843137254901974,0.0815686274509802,0.34530938123752497
2.0,amplification,Late amplification,5,-0.891259219967044,-0.7411490321392583,-0.15011018782778573,0.872255489021956
2.0,delta2_energy,Delta 2 energy,5,2.0210797265372116,5.980879560100838,-3.959799833563627,0.37325349301397204
2.0,flicker_density,Flicker density,5,0.08,0.12941176470588237,-0.04941176470588236,0.5409181636726547
