target,feature,feature_label,pairs,event_mean,matched_mean,paired_difference,paired_standardised_difference,sign_flip_p,holm_p
large_event,amplitude,Peak amplitude,6,2.2499826120498105,2.107413218939419,0.14256939311039207,0.3266465495962905,0.7522477522477522,1.0
large_event,energy,Oscillation energy,6,1.6303721369926294,1.7630398696720093,-0.13266773267937995,-0.12862950428476244,0.5214785214785215,1.0
large_event,temporal_dispersion,Temporal dispersion,6,0.6207209627598098,0.8949935854610955,-0.27427262270128555,-1.062608795087764,0.0939060939060939,0.8451548451548452
large_event,sign_change_rate,Sign-change frequency,6,0.4583333333333333,0.5,-0.041666666666666664,-0.2214037213850238,1.0,1.0
large_event,peak_spacing,Peak spacing,6,2.5,2.1666666666666665,0.3333333333333333,0.1695158759052026,1.0,1.0
large_event,persistence,Directional persistence,6,0.5,0.4666666666666666,0.03333333333333333,0.2214037213850238,0.7522477522477522,1.0
large_event,amplification,Late amplification,6,-1.2397779507305395,-0.8328627383881301,-0.4069152123424094,-0.3641562346213326,0.4355644355644356,1.0
large_event,delta2_energy,Delta 2 energy,6,3.568140386179238,4.566525651674903,-0.998385265495664,-0.19476783666319958,0.7112887112887113,1.0
large_event,flicker_density,Flicker density,6,0.10000000000000002,0.13333333333333333,-0.03333333333333333,-0.40824829046386296,1.0,1.0
new_best_event,amplitude,Peak amplitude,11,1.7764898498043684,2.3109200003756527,-0.5344301505712848,-0.29366421187220465,0.4945054945054945,1.0
new_best_event,energy,Oscillation energy,11,1.5738459743831432,3.667193393376977,-2.0933474189938353,-0.3951932634501409,0.3156843156843157,1.0
new_best_event,temporal_dispersion,Temporal dispersion,11,0.8026220328510889,1.0129769500663939,-0.210354917215305,-0.3879442305039291,0.2677322677322677,1.0
new_best_event,sign_change_rate,Sign-change frequency,11,0.25,0.3181818181818182,-0.06818181818181818,-0.3468729675471601,0.5034965034965035,1.0
new_best_event,peak_spacing,Peak spacing,11,4.0,3.4545454545454546,0.5454545454545454,0.4742675505089842,0.22877122877122877,1.0
new_best_event,persistence,Directional persistence,11,0.6363636363636364,0.7454545454545454,-0.10909090909090909,-0.48349377841522817,0.26073926073926074,1.0
new_best_event,amplification,Late amplification,11,-1.061058306339274,-1.6538934187471066,0.5928351124078323,0.4311063951664096,0.18281718281718282,1.0
new_best_event,delta2_energy,Delta 2 energy,11,2.244769171808732,10.845176982838145,-8.600407811029415,-0.4353615184068475,0.3786213786213786,1.0
new_best_event,flicker_density,Flicker density,11,0.05454545454545456,0.09090909090909091,-0.03636363636363637,-0.24217973984824143,0.7612387612387612,1.0
positive_event,amplitude,Peak amplitude,29,2.2342454204816717,2.0385426927194614,0.19570272776221026,0.17554752686318748,0.35264735264735264,1.0
positive_event,energy,Oscillation energy,29,2.4988202201229757,1.934944489906754,0.563875730216222,0.21380229477018567,0.2817182817182817,1.0
positive_event,temporal_dispersion,Temporal dispersion,29,0.8482888226900438,0.9662929077957214,-0.1180040851056777,-0.28141998531695206,0.16083916083916083,1.0
positive_event,sign_change_rate,Sign-change frequency,29,0.45689655172413796,0.4827586206896552,-0.02586206896551724,-0.14282244773996883,0.5994005994005994,1.0
positive_event,peak_spacing,Peak spacing,29,2.7241379310344827,2.3620689655172415,0.3620689655172414,0.22355249130163712,0.26573426573426573,1.0
positive_event,persistence,Directional persistence,29,0.5103448275862069,0.5448275862068966,-0.034482758620689655,-0.19390209750850412,0.3996003996003996,1.0
positive_event,amplification,Late amplification,29,-1.1972694450054233,-0.5932414766185117,-0.6040279683869119,-0.2875507448577805,0.15384615384615385,1.0
positive_event,delta2_energy,Delta 2 energy,29,6.469880295519362,5.362564356851779,1.107315938667581,0.12420404675598874,0.5494505494505495,1.0
positive_event,flicker_density,Flicker density,29,0.11034482758620691,0.11724137931034484,-0.006896551724137932,-0.05510188508741339,0.978021978021978,1.0
