behaviour,windows,positive_event_rate,large_event_rate,new_best_event_rate
Intermittent oscillation,21,0.47619047619047616,0.14285714285714285,0.047619047619047616
Damped oscillation,12,0.5833333333333334,0.08333333333333333,0.16666666666666666
Irregular flicker,9,0.6666666666666666,0.1111111111111111,0.4444444444444444
Directed movement,7,0.7142857142857143,0.14285714285714285,0.5714285714285714
Stable oscillation,4,0.25,0.0,0.0
Amplifying oscillation,3,0.0,0.0,0.0
