stack_size,mean_difference,wins,ties,losses,wilcoxon_statistic,p_raw,p_holm
3,0.000614522417154001,31,50,19,461.0,0.0878873460696796,0.2636620382090388
5,-0.0006700779727095629,38,11,51,1724.0,0.25446327771947297,0.5089265554389459
8,-0.0006281676413255399,45,14,41,1681.0,0.4144646304566394,0.5089265554389459
10,0.0009892787524366387,52,15,33,1371.0,0.04538202477639475,0.181528099105579
