mode,stack_size,evaluations,mean_accuracy,sd_accuracy,maximum_accuracy,minimum_accuracy,mean_macro_f1,mean_balanced_accuracy,mean_log_loss,mean_worst_dataset_accuracy,mean_active_models,mean_dropout_fraction,mean_cache_reuse_rate,mean_avoided_model_fraction,mean_net_regenerative_efficiency
AX_R,3,100,0.9827037037037037,0.008171859505194768,0.9990740740740741,0.954970760233918,0.9819130208061292,0.9803315208065209,0.10108245012094352,0.9673055555555555,3.0,0.6999999999999998,0.9957093553159106,0.6999999999999998,0.8293337132964294
AX_R,5,100,0.9825745614035089,0.007775088849313267,0.9990740740740741,0.9645711500974659,0.9817551372488593,0.9801650757900758,0.09887404533003989,0.9671286549707603,3.59,0.6409999999999999,0.9954976353593241,0.6409999999999999,0.8003036684018628
AX_R,8,100,0.981293372319688,0.008013212940817986,0.9990740740740741,0.9645711500974659,0.9804634833950778,0.9787096846846848,0.1086768447219072,0.9653333333333333,5.03,0.49699999999999994,0.994419013529376,0.49699999999999994,0.7289642052330718
AX_R,10,100,0.9819410331384016,0.007488740312326703,0.996150097465887,0.960233918128655,0.9811053754849542,0.979401547976548,0.10869133962335153,0.9663391812865497,6.123333333333334,0.38766666666666666,0.9942181594441393,0.38766666666666666,0.6752742567590686
AX_baseline,3,100,0.9820891812865498,0.008378114322068822,0.9990740740740741,0.9642300194931774,0.9812823672503971,0.9797009938509939,0.10076151982617226,0.9662646198830409,3.0,0.6999999999999998,0.9955766585370148,0.6999999999999998,0.0
AX_baseline,5,100,0.9832446393762183,0.00813781166106277,0.9990740740740741,0.96364522417154,0.9824795046986111,0.9809005398255398,0.10187159898999633,0.9684590643274853,5.0,0.5,0.994648496938893,0.5,0.0
AX_baseline,8,100,0.9819215399610137,0.007742467482914834,0.9981481481481481,0.9667153996101364,0.9810611181477029,0.9791838338338339,0.1103285031429768,0.965421052631579,8.0,0.19999999999999996,0.993603150048926,0.19999999999999996,0.0
AX_baseline,10,100,0.9809517543859649,0.007951849216982674,0.9913742690058479,0.9674951267056531,0.9800888445362537,0.9780647933647935,0.11398188495793854,0.964283625730994,10.0,0.0,0.9929179946460259,0.0,0.0
