term,coefficient
intercept,0.5588476993734202
z1,-0.40723846765884014
z2,-0.36942458123613986
z3,-0.25298080019612207
z4,-0.05029800430664704
z5,0.1902941701135944
z6,0.24646477170734016
z1^2,0.23999471627873512
z2^2,0.048468809149389155
z3^2,-0.05764028343538596
z4^2,-0.27443220549793934
z5^2,-0.29233701261203826
z6^2,0.29165372646740106
z1*z2,0.3883756810675907
z1*z3,0.17615348535371553
z1*z4,-0.004859015485223493
z1*z5,-0.17415204537881054
z1*z6,0.03448223947254133
z2*z3,-0.37537789765124024
z2*z4,0.7015148422289634
z2*z5,-0.1303105262675302
z2*z6,0.22857692506564112
z3*z4,0.3368723676273735
z3*z5,0.12986569787484673
z3*z6,0.33654861008561077
z4*z5,-0.19693780849029474
z4*z6,-0.18926529974082382
z5*z6,-0.2880894325999267
