task,runs,verification_success_rate,formal_proof_rate,mean_correction_cycles,self_correction_rate,deterministic_violation_release_rate,mean_runtime_ms,mean_fuzz_ms,mean_invariant_ms,mean_proof_ms,mean_total_verification_ms,homeostasis_restoration_rate
absolute_value,8,1.0,0.0,2.0,1.0,0.0,0.06590750012946955,8.050500750300671,4.446587875008845,0.0036017502225149656,189.25233049981216,1.0
bounded_clamp,8,1.0,0.0,2.0,1.0,0.0,0.07788875007008755,9.458241874881423,5.433791374912289,0.003484999979264103,190.16112799988605,1.0
monotonic_increment,8,1.0,0.0,2.0,1.0,0.0,0.06912187484431342,7.925252749942047,4.514755125001102,0.0022707498601448606,194.29998512498514,1.0
probability_normalisation,8,0.0,0.0,3.0,1.0,0.0,0.753291124738098,72.07420050019664,0.0927931251908376,0.004523624966168427,326.63909450002393,1.0
safe_divide,8,1.0,0.0,2.0,1.0,0.0,0.11729337518318061,15.465998875129117,5.930035750111529,0.004493500114222115,203.85593712489936,1.0
