index,dataset,seed,arm,accuracy,macro_f1,balanced_accuracy,log_loss,rescues,harms,net_rescue,intervention_rate,beacon_lock_rate,beacon_quality_mean,vmax,a0_thrust,brake_start
0,breast_cancer,11,adaptive_entry_combi_anchor,0.9736842105263158,0.9712773998488284,0.9642857142857144,0.1065262019993779,0,0,0,0.0,0.8859649122807017,0.7370412208440321,0.2,0.0,0.1
1,breast_cancer,11,laser_targeting_lens,0.9736842105263158,0.9712773998488284,0.9642857142857144,0.1058549664837894,0,0,0,0.0,0.8859649122807017,0.7370412208440321,0.2,0.0,0.1
2,breast_cancer,11,homing_vmax_acceleration,0.9736842105263158,0.9712773998488284,0.9642857142857144,0.1065706964778044,0,0,0,0.0,0.8859649122807017,0.7370412208440321,0.2,0.0,0.1
3,breast_cancer,11,a0_maintenance_thrust,0.9736842105263158,0.9712773998488284,0.9642857142857144,0.1065706964778044,0,0,0,0.0,0.8859649122807017,0.7370412208440321,0.2,0.0,0.1
4,breast_cancer,11,dynamic_precision_deceleration,0.9736842105263158,0.9712773998488284,0.9642857142857144,0.1067701038043429,0,0,0,0.0,0.8859649122807017,0.7370412208440321,0.2,0.0,0.1
5,breast_cancer,11,terminal_micro_guidance,0.9736842105263158,0.9712773998488284,0.9642857142857144,0.1067704055231173,0,0,0,0.0,0.8859649122807017,0.7370412208440321,0.2,0.0,0.1
6,breast_cancer,11,full_laser_homing_beacon_conduit,0.9736842105263158,0.9712773998488284,0.9642857142857144,0.1066937895096135,0,0,0,0.0,0.8859649122807017,0.7370412208440321,0.2,0.0,0.1
7,breast_cancer,23,adaptive_entry_combi_anchor,0.9736842105263158,0.9715828832571666,0.9692460317460316,0.1092552280074484,0,0,0,0.0,0.8947368421052632,0.7424521600477618,0.2,0.0,0.1
8,breast_cancer,23,laser_targeting_lens,0.9736842105263158,0.9715828832571666,0.9692460317460316,0.1077260538932494,0,0,0,0.0,0.8947368421052632,0.7424521600477618,0.2,0.0,0.1
9,breast_cancer,23,homing_vmax_acceleration,0.9736842105263158,0.9715828832571666,0.9692460317460316,0.1089996550292308,0,0,0,0.0,0.8947368421052632,0.7424521600477618,0.2,0.0,0.1
10,breast_cancer,23,a0_maintenance_thrust,0.9736842105263158,0.9715828832571666,0.9692460317460316,0.1089996550292308,0,0,0,0.0,0.8947368421052632,0.7424521600477618,0.2,0.0,0.1
11,breast_cancer,23,dynamic_precision_deceleration,0.9736842105263158,0.9715828832571666,0.9692460317460316,0.1080879646215815,0,0,0,0.0,0.8947368421052632,0.7424521600477618,0.2,0.0,0.1
12,breast_cancer,23,terminal_micro_guidance,0.9736842105263158,0.9715828832571666,0.9692460317460316,0.1080808950720715,0,0,0,0.0,0.8947368421052632,0.7424521600477618,0.2,0.0,0.1
13,breast_cancer,23,full_laser_homing_beacon_conduit,0.9736842105263158,0.9715828832571666,0.9692460317460316,0.1078773529862229,0,0,0,0.0,0.8947368421052632,0.7424521600477618,0.2,0.0,0.1
14,breast_cancer,37,adaptive_entry_combi_anchor,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0817830309646602,0,0,0,0.0,0.868421052631579,0.7159431347573377,0.2,0.0,0.1
15,breast_cancer,37,laser_targeting_lens,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0816504922053883,0,0,0,0.0,0.868421052631579,0.7159431347573377,0.2,0.0,0.1
16,breast_cancer,37,homing_vmax_acceleration,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0817489339444121,0,0,0,0.0,0.868421052631579,0.7159431347573377,0.2,0.0,0.1
17,breast_cancer,37,a0_maintenance_thrust,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0817489339444121,0,0,0,0.0,0.868421052631579,0.7159431347573377,0.2,0.0,0.1
18,breast_cancer,37,dynamic_precision_deceleration,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0815947267790033,0,0,0,0.0,0.868421052631579,0.7159431347573377,0.2,0.0,0.1
19,breast_cancer,37,terminal_micro_guidance,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.081597846008721,0,0,0,0.0,0.868421052631579,0.7159431347573377,0.2,0.0,0.1
20,breast_cancer,37,full_laser_homing_beacon_conduit,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0813627082284642,0,0,0,0.0,0.868421052631579,0.7159431347573377,0.2,0.0,0.1
21,breast_cancer,53,adaptive_entry_combi_anchor,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0995245920785522,0,0,0,0.0,0.8771929824561403,0.7330628146481216,0.2,0.0,0.1
22,breast_cancer,53,laser_targeting_lens,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.098440638563132,0,0,0,0.0,0.8771929824561403,0.7330628146481216,0.2,0.0,0.1
23,breast_cancer,53,homing_vmax_acceleration,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0993187058539518,0,0,0,0.0,0.8771929824561403,0.7330628146481216,0.2,0.0,0.1
24,breast_cancer,53,a0_maintenance_thrust,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0993187058539518,0,0,0,0.0,0.8771929824561403,0.7330628146481216,0.2,0.0,0.1
25,breast_cancer,53,dynamic_precision_deceleration,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0985686019583038,0,0,0,0.0,0.8771929824561403,0.7330628146481216,0.2,0.0,0.1
26,breast_cancer,53,terminal_micro_guidance,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0985659850762115,0,0,0,0.0,0.8771929824561403,0.7330628146481216,0.2,0.0,0.1
27,breast_cancer,53,full_laser_homing_beacon_conduit,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.0983833562217939,0,0,0,0.0,0.8771929824561403,0.7330628146481216,0.2,0.0,0.1
28,breast_cancer,71,adaptive_entry_combi_anchor,0.9473684210526316,0.942866688940862,0.9384920634920636,0.1304668640280452,0,0,0,0.0,0.8508771929824561,0.7272600136427106,0.2,0.0,0.1
29,breast_cancer,71,laser_targeting_lens,0.9473684210526316,0.942866688940862,0.9384920634920636,0.1310711307718015,0,0,0,0.0,0.8508771929824561,0.7272600136427106,0.2,0.0,0.1
